sample_point_id,sp_name,latitude,longitude,sample_datetime,time_basis_id,param_id,param_name,value,param_std_unit_of_measure,param_short_name
number,string,number,number,datetime,string,string,string,number,string,string
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 09:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,11.60000038,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 10:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,12.19999981,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 11:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,14.30000019,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 12:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,20.29999924,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 13:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,21.79999924,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 14:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,17.70000076,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 15:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,22.60000038,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 16:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,20.10000038,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 17:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,25,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 18:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,23.79999924,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 19:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,18.29999924,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 20:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,13.89999962,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 21:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,15.69999981,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 22:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,8.600000381,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,03/01/2019 23:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,16.60000038,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 00:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,17.5,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 01:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,16.89999962,ug/m3,PM2.5
10239,Melbourne CBD,-37.80739594,144.9700012,04/01/2019 02:00,1HR_AV,BPM2.5,BAM  Particles < 2.5 micron,17.70000076,ug/m3,PM2.5
